;customer+OR+user-dialog+OR+dialogue+OR+conversation+OR+feedback+OR+call+OR+interact+OR+information-exchange+OR+information-sharing+OR+information-access+OR+engage;customer+OR+user+OR+forum+OR+connect+OR+network+OR+networking;lease+OR+rent+OR+license+OR+self-serve+OR+self-service;customer+OR+user-cooperate+OR+cooperation+OR+collaboration+OR+partnership;customer+OR+user-suggest+OR+suggestion+OR+input+OR+request+OR+demand;internal-expertise+OR+resource;customer+OR+user-risk-manage+OR+management+OR+control+OR+assess+OR+reduce+OR+reduction+OR+potential+OR+exposure;customer+OR+user-IP+OR+intellectual-property;customer+OR+user-learn+OR+learning;product+OR+process+OR+service-evolution+OR+evolve;customer+OR+user-experience;customer+OR+user-test+OR+trial+OR+beta;integrated-online-services;simulation+OR+simulate+OR+model+OR+modelling+OR+virtual-world+OR+reference-design+OR+reference-flow+OR+demo-application+OR+toolkit+OR+tutorial+OR+sdk+OR+software-development-kit;product+OR+process-modularity+OR+modular+OR+module;customer+OR+user-produce+OR+assemble+OR+manufacture;customer+OR+user-options+OR+choice+OR+choose;design+OR+process-flexibility+OR+flexible+OR+adaptable;customer-partnerships+OR+interaction+OR+relationship+OR+participate+OR+participation+OR+activity+OR+action;cost-reduce+OR+reduction+OR+saving;customer+OR+user-survey+OR+review+OR+voting+OR+vote+OR+rate+OR+rating;trust+OR+honesty+OR+integrity+OR+transparency;customer+OR+user-disclose+OR+inform+OR+disseminate+OR+reveal;customer+OR+user-dashboard+OR+statistics;new+AND+(product+OR+service+OR+process+OR+application+OR+solution+OR+feature+OR+release+OR+version+OR+launch+OR+introduction+OR+introduce+OR+new-product+OR+new-service+OR+new-process+OR+new-solution+OR+product-launch)
http://www.prudential.co.uk/;0,28;0,32;0,04;0,22;0,29;0,04;5,45;0,21;3,27;0,25;0,19;0,19;0;0,04;0,14;0,19;0,22;0,08;0,32;0,06;3,77;0,18;0,21;0,21;0,16
http://www.randgoldresources.com/;0;0;0;0;0;0;6,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://www.reedelsevier.com/;0;0;0;0;0;3,00;4,00;0;0;0;0;0;0;0;0;0;0;0;0;2,00;0;0;0;0;0
http://www.rb.com/;0,39;0,44;0,01;0,41;0,34;0,05;2,51;0,17;0,13;2,83;0,07;0,09;0;0,06;2,23;0,13;0,27;0,22;0,56;0,20;0,32;0,52;0,12;0,07;0,11
http://www.resolution.gg/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://www.rexam.com/;1,00;2,00;0;0;0;1,00;5,00;0;1,00;1,00;0;0;0;0;1,00;0;0;0;0;0;0;1,00;0;0;0
http://www.riotinto.com/;0,27;0,09;0;0,11;0,27;0,05;2,04;0,06;0,15;0,46;0,06;0,06;0;0,01;0,16;0,06;0,13;0,08;0,28;0,03;0,42;0,34;0,10;0,08;0,05
http://www.rbs.com/;7,82;4,76;0,01;4,71;4,60;0,05;6,85;4,47;4,60;1,40;4,47;4,50;0;0,12;0,13;4,47;4,55;0,08;0,26;0,27;4,89;0,52;4,50;4,55;0,13
http://www.rolls-royce.com/;0,83;1,32;0,04;0,93;0,76;0,05;5,88;0,66;0,79;3,31;0,66;0,67;0;0,11;5,99;0,80;1,05;0,67;0,15;0,16;1,01;11,03;0,66;0,66;0,34
http://www.shell.com/;0,54;1,79;0,02;1,73;0,81;3,19;2,27;0,28;0,35;7,39;0,28;0,28;0;0,25;4,58;0,37;2,43;0,24;1,26;0,11;1,45;4,54;0,36;0,30;0,21
http://www.rolls-royce.com/;0,83;1,32;0,04;0,93;0,76;0,05;5,88;0,66;0,79;3,31;0,66;0,67;0;0,11;5,99;0,80;1,05;0,67;0,15;0,16;1,01;11,03;0,66;0,66;0,34
http://www.rsagroup.com/;1,91;1,78;0,04;1,63;3,56;0,02;4,17;1,57;1,67;0,24;1,57;1,57;0;0;0,13;1,57;1,61;0,07;0,15;0,02;1,94;0,13;1,59;1,57;0,02
http://www.rbs.com/;7,82;4,76;0,01;4,71;4,60;0,05;6,85;4,47;4,60;1,40;4,47;4,50;0;0,12;0,13;4,47;4,55;0,08;0,26;0,27;4,89;0,52;4,50;4,55;0,13
http://www.j-sainsbury.co.uk/;0,61;0,53;0,05;2,63;0,46;0,06;4,28;0,43;0,43;0,77;0,41;0,44;0;0,07;0,66;0,41;0,54;0,09;0,14;0,22;0,56;0,40;0,41;0,41;0,07
http://www.j-sainsbury.co.uk/;0,61;0,53;0,05;2,63;0,46;0,06;4,28;0,43;0,43;0,77;0,41;0,44;0;0,07;0,66;0,41;0,54;0,09;0,14;0,22;0,56;0,40;0,41;0,41;0,07
